,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
85,Steve Aoki,I Love My Friends,185624,2020-05-30 13:57:00,0.756,0.866,9.0,-3.045,1.0,0.067,0.0359,1.89e-05,0.182,0.505,128.007,1oPpiUmhXq0MiyZHlkD0xp,4.0
86,DVBBS,Need U,219520,2020-05-30 14:02:00,0.475,0.897,5.0,-2.383,0.0,0.0736,0.0184,0.0,0.296,0.642,78.918,7dlNGfd6Fq8xcFb4K6Glws,4.0
87,AJ Mitchell,Slow Dance (feat. Ava Max) - Sam Feldt Remix,30002,2020-05-30 14:03:00,0.732,0.85,1.0,-5.999,1.0,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,2wenGTypSYHXl1sN1pNC7X,4.0
88,Jason Derulo,Trumpets,217306,2020-05-31 06:24:00,0.627,0.703,0.0,-4.884,1.0,0.236,0.563,0.0,0.0962,0.64,81.897,6jizk5lOUnfpaZXYMdfeC6,4.0
89,Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),195419,2020-05-31 06:27:00,0.643,0.904,0.0,-3.694,1.0,0.0739,0.0776,0.0,0.189,0.481,103.028,5Xn4IyTtW6FUGIUyWjbUHG,4.0
90,Jason Derulo,Mamacita (feat. Farruko),204064,2020-05-31 06:30:00,0.593,0.787,11.0,-3.67,1.0,0.34,0.303,0.0,0.0917,0.495,191.772,7iwhbx1YQcQ675DTj6AmAb,4.0
91,Jason Derulo,Talk with Your Body,188750,2020-05-31 06:33:00,0.793,0.76,0.0,-3.704,0.0,0.124,0.112,0.0,0.267,0.819,102.989,7yPcAO4F6ozQi6lTi3n3Ai,4.0
92,Jason Derulo,Bubblegum (feat. Tyga),205971,2020-05-31 06:37:00,0.856,0.633,11.0,-6.429,0.0,0.34,0.0718,0.0,0.112,0.77,109.011,1EujTZPE2yBYbbwu2vWXvr,4.0
93,Jason Derulo,Talk Dirty (feat. 2 Chainz),177685,2020-05-31 06:40:00,0.76,0.652,6.0,-7.321,1.0,0.232,0.0348,0.0,0.307,0.759,100.315,5l3CML2OnzfNs5RfVgbcLt,4.0
94,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),119087,2020-05-31 06:52:00,0.696,0.817,1.0,-3.862,1.0,0.109,0.075,0.0,0.187,0.782,98.064,6kex4EBAj0WHXDKZMEJaaF,4.0
95,Jason Derulo,Want to Want Me,207719,2020-05-31 14:14:00,0.775,0.68,0.0,-5.508,0.0,0.0629,0.00906,0.0,0.109,0.656,114.025,6zKrj4SomgfbvsfuTAuElE,4.0
96,Jason Derulo,Tip Toe (feat. French Montana),187521,2020-05-31 14:18:00,0.845,0.709,10.0,-4.547,0.0,0.0714,0.0233,0.0,0.094,0.62,98.062,2z4pcBLQXF2BXKFvd0BuB6,4.0
97,LAY,Let’s SHUT UP & DANCE,208260,2020-05-31 14:22:00,0.765,0.893,6.0,-2.891,0.0,0.209,0.042,0.000271,0.0331,0.715,110.051,2SHsNfrHj4iDOVJuDwclPd,4.0
98,Jason Derulo,If It Ain't Love,203105,2020-05-31 14:25:00,0.503,0.843,10.0,-4.991,0.0,0.316,0.0487,0.0,0.344,0.778,128.63,5YHR8wBR5jXfGtP766NiAT,4.0
99,Jason Derulo,It Girl,192200,2020-05-31 14:29:00,0.668,0.718,1.0,-4.736,0.0,0.0605,0.0165,0.0,0.104,0.345,91.993,4fINc8dnfcz7AdhFYVA4i7,4.0
100,HRVY,Million Ways,169887,2020-05-31 14:32:00,0.645,0.803,6.0,-4.819,1.0,0.034,0.0312,0.0,0.13,0.471,106.03,3wuR0YSNdT9rgWfFi1lctv,4.0
